,sgd_train_loss,sgdhd_train_loss,sgdn_train_loss,sgdnhd_train_loss,adam_train_loss,adamhd_train_loss
0,2799.00732421875,2794.995361328125,2826.10205078125,2777.583740234375,2811.29150390625,2792.191162109375
1,7.136363,3.8816922,7.000392,3.8535886,5.3231096,4.645239
2,6.8512726,3.913276,6.610944,3.6848197,4.8552,4.47943
3,6.8283257,3.457164,6.379964,3.9809613,4.607848,4.3383617
4,6.6265197,3.7004032,6.164293,3.734589,4.4111857,4.342072
5,6.422624,3.773386,6.206414,3.552592,4.4487667,4.113406
6,6.410727,3.455904,5.901587,3.6813297,4.5185037,4.2094364
7,6.152297,3.6691844,5.6958055,3.9548264,4.4211783,4.282111
8,6.020216,3.5971253,5.543845,3.610167,4.4790783,4.143527
9,5.9371386,3.9262135,5.3327384,3.7779567,4.2268553,4.1938124
10,6.079359,3.836013,5.314031,3.6161454,4.140817,4.3838987
11,5.8186917,3.6460266,4.988351,3.7323222,4.1182394,4.199
12,5.713214,3.593207,5.0708756,3.8574288,4.1511583,4.2677717
13,5.729222,3.4075828,4.8697333,3.6139324,4.050261,3.9996705
14,5.4360833,3.6246533,4.7599077,3.6175513,4.20148,3.9572182
15,5.5229344,3.6958027,4.6336327,3.0819685,4.1908455,4.2128406
16,5.4866548,3.869053,4.544806,3.4452503,4.2512593,3.9346938
17,5.2648897,3.2470489,4.667569,3.38512,4.028445,4.048003
18,5.3358355,3.392418,4.6251173,3.5808575,3.9383316,4.1963058
19,5.284074,3.3326309,4.6081724,3.3088214,4.127955,4.1334143
20,5.1824245,3.4677544,4.3846827,3.724762,3.8699825,4.1104603
21,4.9922457,3.5176854,4.468088,3.2598827,3.8214498,4.2214794
22,5.157858,3.5167038,4.5346017,3.3771389,4.129905,3.9123015
23,5.119419,3.5883121,4.205084,3.379104,4.274232,4.0816174
24,4.9944,3.5110161,4.495466,3.1415765,4.094041,4.4863796
25,4.851245,3.5011268,4.396228,3.306909,4.1574388,4.1063266
26,4.929533,3.460897,4.411214,3.4049535,4.051266,4.0879316
27,4.793687,3.4624047,4.5196524,3.2725825,4.016528,4.391541
28,4.761138,3.4371777,4.087335,3.4055583,3.9137921,4.283771
29,4.6475387,3.311451,4.228286,3.586961,3.911169,3.9689739
30,4.644576,3.5987496,4.26901,3.5587087,3.9454434,4.091793
31,4.5579257,3.1860063,4.264816,3.5355372,3.9405994,4.004014
32,4.67674,3.6337223,3.9703617,3.410371,3.9530437,3.9717991
33,4.700001,3.4998622,4.0189767,3.042367,4.1064796,4.259042
34,4.483498,3.5098,4.0774474,3.2396207,3.9016476,4.093351
35,4.538485,3.4489899,4.285084,3.3137417,3.8717494,4.098242
36,4.2868237,3.2730393,4.133218,3.0752778,4.1405125,4.050812
37,4.670684,3.2413208,4.09144,3.139438,3.8424385,4.16878
38,4.357409,3.2145946,4.048173,3.20567,3.8710842,4.251071
39,4.3234334,3.292286,3.9861379,3.1670024,3.883447,3.9735274
40,4.5445914,3.4864554,4.34186,2.9646852,4.0125313,4.120549
41,4.3944597,3.226375,3.9666734,3.2539458,3.9386744,4.0302916
42,4.4857626,3.0629694,4.2508264,3.2280705,3.877678,4.1677694
43,4.2987347,3.3816009,4.2698336,3.2367072,3.9511688,4.064365
44,4.3915563,3.3123596,3.9772153,3.253215,3.9767928,4.1104064
45,4.523994,3.3526142,3.9310844,2.9605737,4.1874933,4.0167737
46,4.158884,3.3405128,4.205869,3.0625288,3.9221783,3.9698672
47,4.042638,3.5471923,4.054147,2.7779384,3.8149102,4.141528
48,4.364646,3.193106,4.0396576,2.841805,3.9898002,4.1023436
49,4.3959827,3.2763736,3.969564,2.8374867,3.8773656,4.060323
50,4.373864,3.4168353,4.2392597,2.9293962,3.9276626,4.124143
51,4.2508,3.425787,4.075991,2.7337801,4.0212245,4.1340346
52,4.124234,3.3762882,4.105332,2.946701,3.9641037,4.172425
53,4.2700315,3.010201,3.9190502,3.0929153,4.087825,4.2777414
54,4.242439,3.1750956,4.1207438,3.1744552,3.7020988,4.1763215
55,4.0333457,3.2706425,3.956529,3.2867618,3.6924622,4.1630354
56,3.9815984,3.1885579,3.977272,2.9283397,3.8912132,4.0951266
57,4.106662,2.9112437,3.8620563,2.6859875,3.9519238,4.099678
58,3.966846,3.16743,3.8554528,3.1289785,3.8003821,4.2085547
59,4.1788206,3.1572006,3.9670663,2.872293,3.7636657,4.2361903
60,4.117863,3.1820617,4.0004816,2.8730364,3.8116822,4.1698685
61,4.0570965,3.6460865,4.0558934,3.071543,3.8095257,4.4252086
62,4.297272,2.900947,4.1055994,3.0042348,3.6864963,4.3019366
63,4.2325788,3.3284187,3.9523125,2.6940432,3.6601307,4.0632563
64,4.2247624,3.2715962,3.9230962,2.9362333,3.8817673,4.200395
65,4.077995,2.9025674,3.8499305,2.7076478,3.8638034,4.032835
66,3.884468,2.7943833,3.969159,2.8502498,4.018006,4.07874
67,4.0763326,3.0415528,4.063205,2.8848739,3.963525,4.215803
68,4.1981893,3.2194343,3.5762887,2.7889593,3.6310716,4.2033796
69,4.1988554,3.2381458,4.11957,2.707892,3.5848129,4.168122
70,4.0425196,3.3002076,3.904087,2.78469,3.6885967,4.169976
71,3.791432,2.968397,3.8583312,2.901877,3.7469814,4.33932
72,4.2607474,2.928524,3.835519,2.855207,3.992239,4.1100593
73,4.192929,3.0250695,3.667759,2.7473714,3.8424492,4.2962055
74,3.9619598,3.0603955,3.548448,3.1145167,3.6056008,3.9908917
75,4.0845327,3.1416912,3.6320863,2.4687552,3.8018074,4.0626383
76,3.9543827,2.849573,3.7429333,2.7966733,3.8859482,4.0063744
77,4.1324224,2.9773164,3.767292,2.546992,3.7574108,4.0092025
78,3.9809055,3.4107902,3.8317986,2.5326235,3.8493817,4.299523
79,4.1709876,3.0558648,3.8429768,2.7794833,3.719899,4.326991
80,4.1130614,3.209475,3.7130551,2.8378768,3.6652787,4.079529
81,4.033725,3.1879752,3.5982609,2.597712,3.640513,4.2406335
82,4.099067,2.9488604,3.7796116,2.9455256,3.9414513,4.076858
83,3.8932388,3.2141204,3.9636643,2.7198644,3.7581468,3.950133
84,4.2301416,2.9470603,3.7018535,2.5723767,3.7746227,4.1397953
85,3.9709191,3.0962744,3.6185246,2.3585796,3.8575752,4.069255
86,3.7518208,2.8560498,3.8920467,2.6738343,3.9112797,4.1967664
87,3.9424298,3.3048725,3.6679668,2.9509814,3.6401627,4.1578846
88,3.776596,2.909449,3.8044605,2.5623355,3.7893977,3.9538708
89,3.8296573,3.0854807,3.599851,2.6188257,3.707447,3.955209
90,3.8343728,3.2781327,3.8328297,2.6576712,3.6815052,4.1991715
91,3.807507,3.0481625,3.7429395,2.614583,3.8151195,4.093355
92,4.1201625,3.3028939,3.6815534,2.5476847,3.7519226,4.060473
93,3.9517791,2.7668915,3.7275558,2.2203019,3.497996,4.058624
94,3.9926178,3.1417665,3.6578922,2.804306,3.801204,3.8989053
95,3.8742192,2.8864536,3.7812982,2.5343447,3.9888825,4.038759
96,4.03229,3.162861,3.451877,2.6777027,3.7660575,3.9841511
97,3.7503502,3.4193416,3.6169667,2.5652814,3.7796376,4.020282
98,3.9257112,2.954224,3.2143273,2.4487398,3.9272373,4.014701
99,3.842181,2.6567588,3.4742317,2.8107069,3.771783,3.9676075
100,3.7046978,2.8998725,3.9344018,2.3844533,3.8394248,4.0206165
